"""TiK ToK""",Ke$ha,Electropop,RCA,"Kesha, Dr. Luke, Benny Blanco","Dr. Luke, Benny Blanco"
"""Need You Now""",Lady Antebellum,"Country pop
country rock","Capitol Nashville
Parlophone","Hillary Scott
Charles Kelley
Dave Haywood
Josh Kear","Lady Antebellum
Paul Worley"
"""Hey, Soul Sister""",Train,"Pop rock
folk rock","Columbia
Sony Music","Patrick Monahan
Espen Lind
Amund Bjørklund","Espionage
Martin Terefe
Gregg Wattenberg"
"""California Gurls""",Katy Perry,"Disco-pop
funk-pop",Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Benjamin Levin
Bonnie McKee
Calvin Broadus","Dr. Luke
Benny Blanco
Max Martin"
"""OMG""",Usher,"Dance-pop
Electro-pop
synthpop",LaFace,William Adams,will.i.am
"""Airplanes""",B.o.B,"Alternative rap
rap rock","Grand Hustle
Rebel Rock
Atlantic
A&M/Octone (Oceania)","Jeremy ""Kinetics"" Dussolliet
Tim ""One Love"" Sommers
Justin Franks
Alexander Grant
Bobby Simmons
Christine Dominguez","Alex da Kid
DJ Frank E"
"""Love the Way You Lie""",Eminem,Hip hop,"Aftermath
Interscope
Shady","Marshall Mathers
Alexander Grant
Holly Hafermann","Alex da Kid
Makeba Riddick"
"""Bad Romance""",Lady Gaga,Dance-pop,"Streamline
KonLive
Cherrytree
Interscope","Stefani Germanotta
Nadir Khayat[1]","RedOne
Lady Gaga"
"""Dynamite""",Taio Cruz,"Dance-pop
electropop",Island,"Taio Cruz
Dr. Luke
Max Martin
Benny Blanco
Bonnie McKee","Dr. Luke
Benny Blanco"
"""Break Your Heart""",Taio Cruz,"Electropop
Electro-R&B
dance-pop","Island
Mercury (US)","Taio Cruz
Fraser T Smith","Taio Cruz
Fraser T Smith"
"""Nothin' on You""",B.o.B,"Pop rap
R&B","Rebel Rock
Grand Hustle
Atlantic","Bobby Ray Simmons, Jr.
Peter Hernandez
Philip Lawrence
Ari Levine",The Smeezingtons
"""I Like It""",Enrique Iglesias,Electropop,Universal Republic,"Enrique Iglesias
Nadir Khayat
Armando Pérez
Lionel Richie",RedOne
"""BedRock""",Young Money,"Pop-rap
dirty rap","Young Money
Cash Money
Universal Motown","Dwayne Carter
Aubrey Graham
Lloyd Polite
Carl Lilly
Onika Maraj
Michael Stevenson
Jarvis Mills
Sean Garrett",Kane Beatz
"""In My Head""",Jason Derulo,"Electronic rock
synthpop","Beluga Heights
Asylum
Warner Bros.","Jason Desrouleaux
Claude Kelly
J. R. Rotem",J.R. Rotem
"""Rude Boy""",Rihanna,Dancehall,"Def Jam
SRP","Mikkel S. Eriksen
Tor Erik Hermansen
Ester Dean
Makeba Riddick
Rob Swire
Robyn Fenty","StarGate
Rob Swire"
"""Telephone""",Lady Gaga,Dance-pop,"Streamline
Kon Live
Cherrytree
Interscope","Stefani Germanotta
Rodney ""Darkchild"" Jerkins
LaShawn Daniels
Lazonate Franklin
Beyoncé Knowles","Darkchild
Lady Gaga[1]"
"""Teenage Dream""",Katy Perry,"Electropop
power pop",Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Benjamin Levin
Bonnie McKee","Dr. Luke
Benny Blanco
Max Martin"
"""Just the Way You Are""",Bruno Mars,"Pop
R&B",Elektra,"Bruno Mars
Philip Lawrence
Ari Levine
Khalil Walton
Khari Cain","The Smeezingtons, Needlz"
"""Cooler than Me""",Mike Posner,Synthpop,"J
RCA","Mike Posner
Eric Holljes
Craig Klepto Tucker",Gigamesh
